Stn Id,Stn Name,CIMIS Region,Date,Jul,Max Air Temp (C),qc
6,Davis,Sacramento Valley,3/1/2021,060,20.4, 
6,Davis,Sacramento Valley,3/2/2021,061,21.3, 
6,Davis,Sacramento Valley,3/3/2021,062,20.1, 
6,Davis,Sacramento Valley,3/4/2021,063,18.2, 
6,Davis,Sacramento Valley,3/5/2021,064,19.6, 
6,Davis,Sacramento Valley,3/6/2021,065,16.5, 
6,Davis,Sacramento Valley,3/7/2021,066,18.2, 
6,Davis,Sacramento Valley,3/8/2021,067,14.5, 
6,Davis,Sacramento Valley,3/9/2021,068,13.6, 
6,Davis,Sacramento Valley,3/10/2021,069,11.5, 
6,Davis,Sacramento Valley,3/11/2021,070,15.1, 
6,Davis,Sacramento Valley,3/12/2021,071,20.6, 
6,Davis,Sacramento Valley,3/13/2021,072,19.4, 
6,Davis,Sacramento Valley,3/14/2021,073,15.2, 
6,Davis,Sacramento Valley,3/15/2021,074,12, 
6,Davis,Sacramento Valley,3/16/2021,075,15.5, 
6,Davis,Sacramento Valley,3/17/2021,076,13.9, 
6,Davis,Sacramento Valley,3/18/2021,077,12.7, 
6,Davis,Sacramento Valley,3/19/2021,078,17.7, 
6,Davis,Sacramento Valley,3/20/2021,079,16.6, 
6,Davis,Sacramento Valley,3/21/2021,080,20.1, 
6,Davis,Sacramento Valley,3/22/2021,081,19.2, 
6,Davis,Sacramento Valley,3/23/2021,082,19.2, 
6,Davis,Sacramento Valley,3/24/2021,083,21.1, 
6,Davis,Sacramento Valley,3/25/2021,084,19.6, 
6,Davis,Sacramento Valley,3/26/2021,085,22.9, 
6,Davis,Sacramento Valley,3/27/2021,086,24.1, 
6,Davis,Sacramento Valley,3/28/2021,087,26.9, 
6,Davis,Sacramento Valley,3/29/2021,088,22.2, 
6,Davis,Sacramento Valley,3/30/2021,089,24.6, 
6,Davis,Sacramento Valley,3/31/2021,090,27.2, 
6,Davis,Sacramento Valley,4/1/2021,091,28.5, 
6,Davis,Sacramento Valley,4/2/2021,092,27.4, 
6,Davis,Sacramento Valley,4/3/2021,093,22, 
6,Davis,Sacramento Valley,4/4/2021,094,20.2, 
6,Davis,Sacramento Valley,4/5/2021,095,21.2, 
6,Davis,Sacramento Valley,4/6/2021,096,23.9, 
6,Davis,Sacramento Valley,4/7/2021,097,23.4, 
6,Davis,Sacramento Valley,4/8/2021,098,24.8, 
6,Davis,Sacramento Valley,4/9/2021,099,24.1, 
6,Davis,Sacramento Valley,4/10/2021,100,25.8, 
6,Davis,Sacramento Valley,4/11/2021,101,27.7, 
6,Davis,Sacramento Valley,4/12/2021,102,28.2, 
6,Davis,Sacramento Valley,4/13/2021,103,23.2, 
6,Davis,Sacramento Valley,4/14/2021,104,22.4, 
6,Davis,Sacramento Valley,4/15/2021,105,23.5, 
6,Davis,Sacramento Valley,4/16/2021,106,28.2, 
6,Davis,Sacramento Valley,4/17/2021,107,29.7, 
6,Davis,Sacramento Valley,4/18/2021,108,31.8, 
6,Davis,Sacramento Valley,4/19/2021,109,28.8, 
6,Davis,Sacramento Valley,4/20/2021,110,23.8, 
6,Davis,Sacramento Valley,4/21/2021,111,25.4, 
6,Davis,Sacramento Valley,4/22/2021,112,22.6, 
6,Davis,Sacramento Valley,4/23/2021,113,23, 
6,Davis,Sacramento Valley,4/24/2021,114,20.6, 
6,Davis,Sacramento Valley,4/25/2021,115,16.2, 
6,Davis,Sacramento Valley,4/26/2021,116,18.8, 
6,Davis,Sacramento Valley,4/27/2021,117,25.4, 
6,Davis,Sacramento Valley,4/28/2021,118,30, 
6,Davis,Sacramento Valley,4/29/2021,119,30.8, 
6,Davis,Sacramento Valley,4/30/2021,120,29, 
6,Davis,Sacramento Valley,5/1/2021,121,27.8, 
6,Davis,Sacramento Valley,5/2/2021,122,28.3, 
6,Davis,Sacramento Valley,5/3/2021,123,30.9, 
6,Davis,Sacramento Valley,5/4/2021,124,31.4, 
6,Davis,Sacramento Valley,5/5/2021,125,33, 
6,Davis,Sacramento Valley,5/6/2021,126,28.8, 
6,Davis,Sacramento Valley,5/7/2021,127,27.1, 
6,Davis,Sacramento Valley,5/8/2021,128,30.1, 
6,Davis,Sacramento Valley,5/9/2021,129,30.1, 
6,Davis,Sacramento Valley,5/10/2021,130,31.6, 
6,Davis,Sacramento Valley,5/11/2021,131,33.3, 
6,Davis,Sacramento Valley,5/12/2021,132,33.2, 
6,Davis,Sacramento Valley,5/13/2021,133,29.8, 
6,Davis,Sacramento Valley,5/14/2021,134,26.9, 
6,Davis,Sacramento Valley,5/15/2021,135,23, 
6,Davis,Sacramento Valley,5/16/2021,136,25.8, 
6,Davis,Sacramento Valley,5/17/2021,137,24.2, 
6,Davis,Sacramento Valley,5/18/2021,138,29.5, 
6,Davis,Sacramento Valley,5/19/2021,139,24.9, 
6,Davis,Sacramento Valley,5/20/2021,140,21.9, 
6,Davis,Sacramento Valley,5/21/2021,141,23, 
6,Davis,Sacramento Valley,5/22/2021,142,24.6, 
6,Davis,Sacramento Valley,5/23/2021,143,26.1, 
6,Davis,Sacramento Valley,5/24/2021,144,30.3, 
6,Davis,Sacramento Valley,5/25/2021,145,27.8, 
6,Davis,Sacramento Valley,5/26/2021,146,30.1, 
6,Davis,Sacramento Valley,5/27/2021,147,29.9, 
6,Davis,Sacramento Valley,5/28/2021,148,29.7, 
6,Davis,Sacramento Valley,5/29/2021,149,29.4, 
6,Davis,Sacramento Valley,5/30/2021,150,35.7, 
6,Davis,Sacramento Valley,5/31/2021,151,38.9,Y
6,Davis,Sacramento Valley,6/1/2021,152,35.3, 
6,Davis,Sacramento Valley,6/2/2021,153,33.8, 
6,Davis,Sacramento Valley,6/3/2021,154,34.4, 
6,Davis,Sacramento Valley,6/4/2021,155,33, 
6,Davis,Sacramento Valley,6/5/2021,156,31.6, 
6,Davis,Sacramento Valley,6/6/2021,157,32.6, 
6,Davis,Sacramento Valley,6/7/2021,158,27.7, 
6,Davis,Sacramento Valley,6/8/2021,159,23.9, 
6,Davis,Sacramento Valley,6/9/2021,160,23.7, 
6,Davis,Sacramento Valley,6/10/2021,161,23.8, 
6,Davis,Sacramento Valley,6/11/2021,162,27.3, 
6,Davis,Sacramento Valley,6/12/2021,163,31.8, 
6,Davis,Sacramento Valley,6/13/2021,164,31.5, 
6,Davis,Sacramento Valley,6/14/2021,165,29.1, 
