date.x,plate,blood_num,s1,s2,blood_num_mother,brood_size,cort_s1_mother,cort_s2_mother,Species,Nestbox,year,habitat,canopy_cover,site,attempt_id,date.y,juliandate,ind_id,band_number,occasion,Age,age,Sex,meanh,meanmaxtempI,weight,wing,tail,skull,bill,tarsus,gweight,gwing,gtail,gskull,gbill,gtarsus,condition
9/12/2023,A07,B005,8.3255,73.675,B005,4,8.3255,73.675,WEBL,MBNG21,2022,Grassland,NA,MB,2022_MBNG21_1,2022-04-22,112,2941-94405,2941-94405,1,AHY,NA,F,67.81025173611111,NA,22.8,98,56,34.3,8.1,19.5,NA,NA,NA,NA,NA,NA,1.1692307692307693
9/13/2023,A08,B031,NA,83.84,B001,3,5.97,27.58,WEBL,PICO4,2022,Orchard,85.614,PG,2022_PICO4_1,2022-04-27,117,2941-94409,2941-94409,3,L,13,U,NA,25.4675625,24.4,63,28,31.4,5.2,21.2,0.4,4.4,3.6,0.4,0.1200000000000001,0.17999999999999972,1.150943396226415
9/21/2023,A12,B107,75.965,70.2,B048,5,4.5265,27.135,WEBL,MBNR1,2022,Row crop,3.882000000000005,MB,2022_MBNR1_1,2022-05-02,122,2941-94507,2941-94507,2,L,12,F,47.952486979166665,31.5115625,21.5,41,11,29.5,5,18.8,0.9000000000000004,4.75,2.5,0.625,0.125,0.27500000000000036,1.1436170212765957
9/22/2023,A14,B447,11.52,79.61,B370,5,6.611,51.295,WEBL,PICR1,2023,Row crop,0,PG,2023_PICR1_1,2023-05-30,150,2941-94573,2941-94573,2,L,11,F,62.316006944444446,30.9364375,25.4,48,15,30.4,5.5,20.2,0.5999999999999991,5,3,0.39999999999999974,0.2333333333333334,0.3333333333333333,1.2574257425742574
9/5/2023,A02,B534,132.6,205.1,B521,4,5.8985,35.215,WEBL,PCC5,2023,Forest,81.963,PG,2023_PCC5_1,2023-07-04,185,3181-01212,NA,2,L,10,U,60.32763888888889,34.8565,22.8,31,3,26.7,4.7,19,2.5,4,0.6,0.7399999999999999,0.26000000000000006,1.3800000000000001,1.2
9/5/2023,A02,B535,126.75,160.7,B521,4,5.8985,35.215,WEBL,PCC5,2023,Forest,81.963,PG,2023_PCC5_1,2023-07-04,185,3181-01211,NA,2,L,10,U,60.32763888888889,34.8565,24.8,31,4,28.5,4.5,19.7,2.64,3.8,0.8,1.3799999999999997,0.3,1.3799999999999997,1.2588832487309645
9/5/2023,A02,B543,134.65,226.6,B543,3,134.65,226.6,WEBL,RRRR3,2023,Row crop,0,RR,2023_RRRR3_1,2023-07-05,186,2941-94705,2941-94705,1,AHY,3,F,NA,37.823375,28.9,103,64,37,8.9,21.5,NA,NA,NA,NA,NA,NA,1.3441860465116278
9/5/2023,A02,B545,103.445,238.5,B545,1,103.445,238.5,WEBL,RRRG50,2023,Grassland,0,RR,2023_RRRG50_1,2023-07-06,187,2941-94706,2941-94706,1,AHY,4,F,NA,38.4436875,25.8,97,56,35.4,9.3,19.6,NA,NA,NA,NA,NA,NA,1.316326530612245
9/5/2023,A02,B551,117.1,235.95,B521,4,5.8985,35.215,WEBL,PCC5,2023,Forest,81.963,PG,2023_PCC5_1,2023-07-10,191,3181-01211,3181-01211,3,L,17,M,62.39078125,30.16075,30.5,58,23,31.1,6.3,21.2,0.9499999999999998,4.5,3.1666666666666665,0.43333333333333357,0.3,0.25,1.4386792452830188
9/5/2023,A02,B552,146.5,238.7,B521,4,5.8985,35.215,WEBL,PCC5,2023,Forest,81.963,PG,2023_PCC5_1,2023-07-10,191,3181-01212,3181-01212,3,L,17,M,62.39078125,30.16075,28.9,60,23,30.3,5.6,19.8,1.0166666666666664,4.833333333333333,3.3333333333333335,0.6000000000000002,0.1499999999999999,0.13333333333333344,1.4595959595959596
9/5/2023,A02,B556,118.35,217.2,B556,4,118.35,217.2,WEBL,BRO7,2023,Orchard,59.727,WI,2023_BRO7_1,2023-07-11,192,3181-01213,3181-01213,1,AHY,1,F,52.91530815972222,32.62835714285714,28.4,97,61,35.9,9.1,20.4,NA,NA,NA,NA,NA,NA,1.392156862745098
